article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
13,Relative influence of environmental factors on the timing and occurrence of multi-species coral reef fish aggregations,PLOS ONE,2018,0,10.1371/journal.pone.0209234,Field-based,"James Cook Univ, Coll Sci & Engn, Townsville, Qld, Reef Magic Cruises, Reef Educ, Cairns, Qld",Australia,Townsville,TSV,Australia,northern Great Barrier Reef,Cairns,CNS
14,Population Dynamics of Benthic-Epiphytic Dinoflagellates on Two Macroalgae From Coral Reef Systems of the Northern Mexican Caribbean,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00487,Field-based,"Ctr Invest Cient Yucata, AC Unidad Ciencias Agua, Lab Ecol Costera, Cancun",Mexico,NA,NA,Mexico,NA,NA,NA
17,Octocoral Sexual Reproduction: Temporal Disparity Between Mesophotic and Shallow-Reef Populations,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00445,Field-based,"Interuniv Inst Marine Sci Eilat, Elat, Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv",Israel,NA,NA,Israel,NA,NA,NA
18,High species richness and lineage diversity of reef corals in the mesophotic zone,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.1987,Field-based,"Queensland Museum, Biodivers & Geosci, Townsville, Qld 4810",Australia,Townsville,TSV,Australia,northern Great Barrier Reef,Cairns,CNS
19,Maneuvering towards adaptive co-management in a coral reef fishery,MARINE POLICY,2018,0,10.1016/j.marpol.2018.09.016,Field-based,"San Diego State Univ, Dept Anthropol, 5500 Campanile Dr, San Diego",United States,NA,NA,French Polynesia,NA,NA,NA
20,"Outbreak densities of the coral predator Drupella in relation to in situ Acropora growth rates on Ningaloo Reef, Western Australia",CORAL REEFS,2018,0,10.1007/s00338-018-01748-7,Field-based,"CSIRO, Oceans & Atmosphere, 64 Fairway, Crawley, WA 6009, Univ Western Australia, Oceans Inst, 64 Fairway, Crawley, WA 6009, Univ Western Australia, Sch Plant Biol, 64 Fairway, Crawley, WA 6009",Australia,NA,NA,Australia,NA,NA,NA
21,Coral expansion in Sydney and associated coral-reef fishes,CORAL REEFS,2018,0,10.1007/s00338-018-1727-5,Field-based,"Univ Technol, Fish Ecol Lab, Sydney, NSW 2007",Australia,Sydney,SYD,Australia,Cabbage Tree Bay,Sydney Airport,SYD
24,"Patterns of coexistence of six anemonefish species around subtropical Okinawa-jima Island, Japan",CORAL REEFS,2018,1,10.1007/s00338-018-01740-1,Field-based,"Univ Ryukyus, Grad Sch Engn & Sci, 1 Senbaru, Nishihara, Okinawa 9030213",Japan,"Nishihara, Okinawa",OKA,Japan,"Okinawa-jima Island, Japan",Kagoshima Airport,KOJ
25,Holdfasts of Sargassum swartzii are resistant to herbivory and resilient to damage,CORAL REEFS,2018,0,10.1007/s00338-018-01745-w,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811",Australia,Townsville,TSV,Australia,"Lizard Island, northern Great Barrier Reef",Cairns,CNS
28,The world's largest parrotfish has slow growth and a complex reproductive ecology,CORAL REEFS,2018,0,10.1007/s00338-018-1723-9,Field-based,"Pacific Otolith Serv, Honolulu",United States,Honolulu,HNL,Solomon Islands,Solomon Islands,Honiara International Airport,HIR
