article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
19,Maneuvering towards adaptive co-management in a coral reef fishery,MARINE POLICY,2018,0,10.1016/j.marpol.2018.09.016,Field-based,"San Diego State Univ, Dept Anthropol, 5500 Campanile Dr, San Diego",United States,,,French Polynesia,,,
28,The world's largest parrotfish has slow growth and a complex reproductive ecology,CORAL REEFS,2018,0,10.1007/s00338-018-1723-9,Field-based,"Pacific Otolith Serv, Honolulu",United States,Honolulu,HNL,Solomon Islands,Solomon Islands,Honiara International Airport,HIR
30,Conserved behavioral circuits govern high-speed decision-making in wild fish shoals,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,0,10.1073/pnas.1809140115,Field-based,"NOAA, Southwest Fisheries Sci Ctr, Santa Cruz, Univ Calif Santa Cruz, Inst Marine Sci, Santa Cruz",United States,Santa Cruz,SPC,French Polynesia,Mo'orea,Aéroport de Moorea Temae,MOZ
34,Marginal sinks or potential refuges? Costs and benefits for coral-obligate reef fishes at deep range margins,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.1545,Field-based,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld 4811, James Cook Univ, Marine Biol & Aquaculture Sci, Coll Sci & Engn, Townsville, Qld 4811",Australia,Townsville,TSV,Papua New Guinea,Kimbe Bay,Hoskins Airport,HKN
39,Effect of Coral-Algal Interactions on Early Life History Processes in Pocillopora acuta in a Highly Disturbed Coral Reef System,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00385,Field-based,"Univ New South Wales, Sch Biol Earth & Environm Sci, Ctr Marine Bioinnovat, Sydney, NSW",Australia,Sydney,SYD,Singapore,Singapore’s southern islands,Singapore Changi Airport,SIN
41,"Growth, site fidelity, and grouper interactions of the Red Sea lionfish Pterois miles (Scorpaenidae) in its native habitat",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3436-6,Field-based,"Amer Univ Cairo, Dept Biol, New Cairo 11835, Amer Univ Cairo, John D Gerhart Field Stn, El Gouna, Nat Biodivers Ctr, NL-2300 RA Leiden","Egypt, Netherlands",New Cairo,NAC,Egypt,Hurghada,Hurghada International Airport,HRG
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,,,Australia,,,
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,,,"Taiwan, Province Of China",,,
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,,,Thailand,,,
47,Impact of the Use of a Teaching Toolbox in an Awareness Campaign on Children's Representations of Coral Reefs,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00340,Field-based,"CNRS, UR, IRD, UMR ENTROPIE, St Clotilde, Labex Corail, Perpignan","Reunion, France",,,New Caledonia,,,
