article_id,journal,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,field_study_location,field_country,field_airport,field_airport_code
13,PLOS ONE,"James Cook Univ, Coll Sci & Engn, Townsville, Qld",Australia,Townsville,TSV,northern Great Barrier Reef,Australia,Cairns,CNS
18,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Queensland Museum, Biodivers & Geosci, Townsville, Qld 4810",Australia,Townsville,TSV,northern Great Barrier Reef,Australia,Cairns,CNS
21,CORAL REEFS,"Univ Technol, Fish Ecol Lab, Sydney, NSW 2007",Australia,Sydney,SYD,Cabbage Tree Bay,Australia,Sydney Airport,SYD
24,CORAL REEFS,"Univ Ryukyus, Grad Sch Engn & Sci, 1 Senbaru, Nishihara, Okinawa 9030213",Japan,"Nishihara, Okinawa",OKA,"Okinawa-jima Island, Japan",Japan,Kagoshima Airport,KOJ
25,CORAL REEFS,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811",Australia,Townsville,TSV,"Lizard Island, northern Great Barrier Reef",Australia,Cairns,CNS
28,CORAL REEFS,"Pacific Otolith Serv, Honolulu",United States,Honolulu,HNL,Solomon Islands,Solomon Islands,Honiara International Airport,HIR
29,CORAL REEFS,"Australian Inst Marine Sci, PMB 3, Townsville, Qld 4810",Australia,Townsville,TSV,"Cooktown, Innisfail",Australia,Cooktown Airport,CTN
30,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"NOAA, Southwest Fisheries Sci Ctr, Santa Cruz",United States,Santa Cruz,SFO,Mo'orea,French Polynesia,Aéroport de Moorea Temae,MOZ
31,PLOS ONE,"Univ Western Australia, Sch Biol Sci, Crawley, WA",Australia,Crawley,PER,Onslow,Australia,Perth International Airport,PER
34,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld 4811",Australia,Townsville,TSV,Kimbe Bay,Papua New Guinea,Hoskins Airport,HKN
37,PLOS ONE,"Dauph Isl Sea Lab, Dauphin Isl",United States,"Mobile, Alabama",BFM,"Layton, Florida",United States,Florida Keys/Marathon International Airport,MTH
38,MARINE BIOLOGY,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811",Australia,Townsville,TSV,northern Great Barrier Reef,Australia,Cairns,CNS
39,FRONTIERS IN MARINE SCIENCE,"Univ New South Wales, Sch Biol Earth & Environm Sci, Ctr Marine Bioinnovat, Sydney, NSW",Australia,Sydney,SYD,Singapore’s southern islands,Singapore,Singapore Changi Airport,SIN
41,MARINE BIOLOGY,"Amer Univ Cairo, Dept Biol, New Cairo 11835",Egypt,New Cairo,NAC,Hurghada,Egypt,Hurghada International Airport,HRG
45,FRONTIERS IN MARINE SCIENCE,"James Cook Univ, ARC Ctr Excelienoe Coral Reef Studies, Townsville, Qld",Australia,Townsville,TSV,Indo-Australian archipelago,Australia,Ninoy Aquino International Airport,MNL
46,PLOS ONE,"Univ Salento, Dept Biol & Environm Sci & Technol, Lab Ecol, Lecce",Italy,Lecce,LCC,Puglia,Italy,Aeroporto di Lecce San Cataldo,LCC
